ID,Statiune,Judet,activitate_principala_plaja,activitate_principala_partie,activitate_principala_trasee,activitate_principala_tratament,Info,Alimentatie,Cultura,sezon_rece,sezon_cald,sezon_tot,rating,helpfulVotes,Staff,Facilities,Cleanliness,Comfort,Value for money,Location,totalReviews,TravelerType,numberOfNights,buget_ridicat,buget_scazut,travelerType_Couple,travelerType_Solo traveler,travelerType_Family,travelerType_Group,Regiune,Regiune_istorica,Latitude,Longitude
13,Cap Aurora,Constanta,1,0,0,0,0,0,0,0,1,0,7.82,0.73,8.51,8.0,8.5,8.43,7.68,8.37,24975,Family,7,0,1,0,0,1,0, SUD-EST,Dobrogea,43.8503309,28.6051941
14,Calimanesti Caciulata,Valcea,0,0,0,1,0,0,1,0,0,1,8.76,0.38,9.1,8.96,9.28,9.21,8.71,9.33,62898,Couple,4,0,1,1,0,0,0, SUD-VEST OLTENIA,Oltenia,45.2600348,24.321245
15,Costinesti,Constanta,1,0,0,0,0,1,0,0,1,0,8.37,0.49,9.09,8.6,8.72,8.66,8.57,8.75,17175,Group,7,0,1,0,0,0,1, SUD-EST,Dobrogea,43.94877,28.6310206
16,Covasna,Covasna,0,0,1,0,0,1,0,0,0,1,8.64,0.26,9.09,8.52,9.03,8.67,8.49,9.07,49065,Couple,8,1,0,1,0,0,0, CENTRU,Transilvania,45.8448991,26.1693108
17,Dambovicioara,Arges,0,0,1,0,0,1,1,0,0,1,8.47,0.13,9.5,8.6,8.89,8.59,8.94,9.52,4800,Group,3,0,1,0,0,0,1, SUD-MUNTENIA,Muntenia,45.4377707,25.232989
18,Eforie Nord,Constanta,1,0,0,0,1,0,0,0,1,0,8.64,0.35,9.17,8.7,9.0,8.94,8.61,8.87,202469,Family,10,1,0,0,0,1,0, SUD-EST,Dobrogea,44.0637934,28.6337441
19,Eforie Sud,Constanta,1,0,0,0,1,0,0,0,1,0,7.2,1.54,8.54,7.61,8.03,8.03,7.64,8.33,28006,Family,8,1,0,0,0,1,0, SUD-EST,Dobrogea,44.0278741,28.650451
20,Geoagiu Bai,Hunedoara,0,0,0,1,1,0,0,0,1,0,8.3,1.2,9.43,9.26,9.52,9.02,8.75,9.46,10414,Group,5,1,0,0,0,0,1, VEST,Transilvania,45.9374986,23.1640153
21,Gura Humorului,Suceava,0,0,1,0,0,1,1,0,0,1,9.08,0.46,9.44,9.22,9.45,9.35,9.15,9.28,62186,Couple,5,0,1,1,0,0,0, NORD-EST,Bucovina,47.553693,25.889007
22,Horezu,Valcea,0,0,1,0,1,1,1,0,1,0,9.25,0.26,9.47,8.96,9.28,9.15,9.22,9.28,13428,Couple,5,0,1,1,0,0,0, SUD-VEST OLTENIA,Oltenia,45.1469851,23.9877807
23,Jupiter,Constanta,1,0,0,0,1,0,1,0,1,0,7.7,0.46,8.65,7.91,8.33,8.16,8.03,8.48,96105,Family,8,0,1,0,0,1,0, SUD-EST,Dobrogea,43.8580041,28.6010503
24,Lacu Sarat,Braila,0,0,0,1,0,0,0,0,1,0,8.5,0.27,9.58,8.56,9.26,9.03,8.91,8.79,480,Group,5,0,1,0,0,0,1, SUD-EST,Muntenia,45.2166848,27.8891297
25,Mamaia,Constanta,1,0,0,0,0,0,0,0,1,0,8.22,0.33,9.02,8.55,8.81,8.77,8.43,9.0,434379,Couple,8,1,0,1,0,0,0, SUD-EST,Dobrogea,44.2337861,28.6255665
26,Mangalia,Constanta,1,0,0,0,0,1,1,0,1,0,8.77,0.63,9.35,8.95,9.26,9.12,8.57,9.47,48765,Solo,7,1,0,0,1,0,0, SUD-EST,Dobrogea,43.8150793,28.5830306
27,Moneasa,Arad,0,0,0,1,0,1,0,0,1,0,9.27,0.11,9.57,9.2,9.22,9.21,8.97,9.59,4515,Couple,5,0,1,1,0,0,0, VEST,Crisana,46.4611115,22.2567395
28,Neptun Olimp,Constanta,1,0,0,0,1,0,0,0,1,0,8.02,0.5,9.02,8.49,8.64,8.62,8.15,8.69,80985,Family,10,1,0,0,0,1,0, SUD-EST,Dobrogea,43.885503,28.6081304
29,Poiana Brasov,Brasov,0,1,0,0,1,0,0,0,0,1,8.86,0.33,9.35,8.97,9.1,9.12,8.63,9.41,207210,Family,7,1,0,0,0,1,0, CENTRU,Transilvania,45.5967098,25.5561895
30,Predeal,Brasov,0,1,0,0,1,1,0,0,0,1,8.82,1.03,9.32,8.84,9.18,9.07,8.9,9.13,284329,Family,8,0,1,0,0,1,0, CENTRU,Transilvania,45.5026879,25.5761577
